id,rating,comment,booking_id,facility_id
2,4,"Good lo! Pasir Ris Park BBQ Pit 41 boleh tahan! Quite clean and big, enough space for kaki to lepak one corner. Got shade also, rain or shine also can cook. Just that next time maybe can install one more light yeah, at night a bit difficult to see. But other than that, quite shiok lah! Give 4 stars ah.",2,186
10,5,"Awesome place lah! East Coast Park BBQ Pit 47 confirm is a five-star experience. No need to worry about cleanliness, when we reach there the pit already cute and ready for our satay and chicken wings. Situated near the beach leh so can enjoy the sea breeze while waiting for food to cook. Motorcycle parking also very close, super convenient. I tell you, best in Singapore! Will book again k!",10,50
15,4,"Quite a good spot at East Coast Park this BBQ Pit 9. Enough space for your mat and chairs. Near to the beach, can enjoy the wind. Sometimes got a bit of litter but most of the time okay one, quite clean. Can easily fetch food and drinks from nearby hawker centre. So overall, quite solid! Can recommend!",15,12
21,4,"BBQ Pit 56 at Pasir Ris Park is really something else leh. Confirm can enjoy good BBQ session with family or friends. The pit is spacious sia, can cook a lot of food at once. Very clean and well-maintained, like top notch man. Didn't give 5 stars because the pit is a bit too near playground, sometimes the kids' noise quite disturbing when we try to enjoy our meal. But overall, still very power! Surely will visit again.",21,201
30,3,"BBQ Pit 39 at Pasir Ris Park is okay only. The size of the pit quite decent, can grill enough food for a small group. But a bit far from the carpark lah, quite tiring to lug all the stuff there. Also, not very clean - looks like people use then never clean up properly. But at least got shelter, so rain or shine also can grill. Overall, still can la.",30,184
32,5,"East Coast Park is super shiok lah, BBQ Pit 17 is heaven! Big enough for a large family to enjoy maximum BBQ. Perfect view of the sea, like watching live National Geographic while grilling your chicken wings. Can see many bicycle riders and rollerbladers zooming past. Reserve this pit early before kena taken up! Hands down, 5 stars! Can go many more times, sure not sian one!",32,20
33,5,"Wah, BBQ Pit 18 at Pasir Ris Park really deserve this 5 star rating leh! Pit quite big, can cook lots of food at once. The place also super clean and well-kept, make barbequing shiok! Moreover, got big shady trees around, and sea breeze really nice. The best part? Got ample parking space nearby, no need stress to find parking. Confirm plus chop will book again!",33,163
37,4,"Had a solid BBQ session at BBQ Pit 34 in Pasir Ris Park. The pit is quite beh tahan, can handle a lot of heat - good for our sambal stingray and chicken wings. And so near the beach – can feel the sea breeze and hear waves crashing - really quite shiok. Only the downside, quite a lot of people, so must be kiasu and book early. Can pocket also because not so expensive after splitting with friends. Overall, quite worth it lah!",37,179
41,5,"Wah, BBQ Pit 6 at East Coast Park really power lah! The pit very clean and also big enough for one big family. Plus-East Coast Park got many fun things to do before and after makan, like cycling and picnic. Must try lah!",41,9
42,2,"Not very happy with BBQ Pit 33 at East Coast Park eh. The fire not easy to start, the pit a bit rusty and old already. Somemore got quite a number of mosquitoes. Better bring own repellent if you come. Also, no light, after sunset very hard to see. Can BBQ but experience not so shiok. Can improve lah, NParks.",42,36
43,4,"Quite nice spot at Pulau Ubin, this Ubin Living Lab - Hall Block (Front). Quite roomy and got a modern touch, yet still maintains that old kampong feels. The presentation room got all the tech you need for your talk or workshop, but the AC sometimes quite cold. Also, still need to board bumboat to get here, so not so convenient. But overall still a solid 4 out of 5. Can come and see-see look-look!",43,100
44,3,"BBQ Pit 29 at East Coast Park was a bit of a letdown lah. Missed the sea view completely, hidden behind trees. The pit itself was okay, maybe not as clean as I hoped but decent. Also uses charcoal, tiring leh. Perhaps de Parks Board can consider electric ones? If you want a pit with a view go for others, this does not cut it. But okay if you're in for just the BBQ. Not the best but can, lah.",44,32
46,4,"BBQ Pit 35 at Pasir Ris Park, not bad leh! Location easy to find, close to carpark and got nearby toilet for convenience. The pit itself also quite clean and well-maintained. Got shelter also, so no need to worry about weather. Made for a shiok BBQ gathering. But eh, next time please increase the lighting a bit, too dark after sunset. Overall, good experience lah, would recommend!",46,180
50,5,"Had a solid BBQ session at East Coast Park, BBQ Pit 30. Located very convenient, close to carpark and toilet. The pit is clean and area spacious. Trust me, very good spot to lepak with your friends and family. BBQ food taste even more shiok when you cook yourself, right? Plus, got sea breeze somemore. Swee lah! Highly recommend! Must try! Five stars for sure!",50,33
51,5,"Bishan-Ang Mo Kio Park is really a gem in the city! The Promenade facility here super nice place to chill and relax, perfect for a warm evening walk. Whole scene very peaceful and got touch of nature one. So good till you forget you are in busy Singapore. Walk around also can see many families and friends having picnic or playing frisbee, the vibes really plus points! Highly recommend to all, sure won't regret one! Give 5 full stars, can give more also I want!",51,91
56,2,"Not really impressed with BBQ Pit 66 at East Coast Park lah. The maintenance is quite poor and even got some trash when we arrive. Swee ah if got more cleaning up, also the light a bit dim at night. Remember to bring portable lights if you don't want to BBQ in the dark. Can do better leh, National Parks!",56,69
57,2,"Quite disappointed lah. The BBQ Pit 3 at Sembawang Park not well-maintained sia. Got a lot of ashes left over from last use, have to clean up before can do anything. The grilling area also wear out till cannot even grill properly. Plus, got few street lamps around pit spoil, quite dark at night. Location wise not bad, near toilet and playground but the condition of pit bo jio next time. Rate it 2 only.",57,138
